"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"289","fim de festa / polca fogueteira / lascando o cano / pagode russo / fogueira de sao joao","luiz gonzaga","forró","ontem eu sonhei que estava em moscou dançando pagode russo na boate cossacou ontem eu sonhei que estava em moscou dançando pagode russo na boate cossacou parecia até um frevo naquele cai ou não cai parecia até um frevo naquele vai ou não vai parecia até um frevo naquele cai ou não cai parecia até um frevo naquele vai ou não vai entra cossaco cossaco dança agora na dança do cossaco  não fica cossaco fora entra cossaco cossaco dança agora na dança do cossaco  não fica cossaco fora ei  ontem eu sonhei que estava em moscou dançando pagode russo na boate cossacou ontem eu sonhei que estava em moscou dançando pagode russo na boate cossacou parecia até um frevo naquele cai e não cai parecia até um frevo naquele vai e não vai parecia até um frevo naquele cai e não cai parecia até um frevo naquele vai e não vai entra cossaco cossaco dança agora na dança do cossaco  não fica cossaco fora entra cossaco cossaco dança agora na dança do cossaco  não fica cossaco fora ei vamo  vamo nome_fem vamo na carreira vamo pra fogueira festejá meu são joão vamo  vamo nome_fem findou se o inferno houve bom inverno há fartura no sertão ai    nome_fem traz pamonha  milho assado vou matá de bucho inchado quem num crê no meu sertão traz a riúna que vou lascá o cano pela safra desse ano em louvor a são joão   bis","forró"
"330","a vida do viajante (feat. gonzaguinha)","luiz gonzaga","forró","minha vida é andar por este país pra ver se um dia descanso feliz guardando as recordações das terras onde passei andando pelos sertões e dos amigos que lá deixei  chuva e sol  poeira e carvão longe de casa sigo o roteiro mais uma estação e alegria no coração minha vida é andar por este país pra ver se um dia descanso feliz guardando as recordações das terras onde passei andando pelos sertões e dos amigos que lá deixei  mar e terra  inverno e verão mostro o sorriso  mostro alegria mas eu mesmo não e a saudade no coração ","forró"
"368","eu só quero um xodó","gilberto gil","forró","que falta eu sinto de um bem que falta me faz um xodó mas como eu não tenho ninguém eu levo a vida assim tão só eu só quero um amor que acabe o meu sofrer um xodó pra mim do meu jeito assim que alegre o meu viver    ","forró"
"486","xote dos milagres","falamansa","forró","escrevi seu nome na areia o sangue que corre em mim sai da tua veia veja só você é a única que não me dá valor então por que será que este valor é o que eu ainda quero ter tenho tudo nas mãos  mas não tenho nada  então melhor ter nada e lutar pelo que eu quiser ê  mas péra aê  ouça o forró tocando e muita gente aê não é hora pra chorar porem não é pecado se eu falar de amor se eu canto sentimento seja ele_similares qual for me leva onde eu quero ir se quiser também pode vir escuta o meu coração que bate no compasso da zabumba de paixão ê pra surdo ouvir  pra cego ver que este xote faz milagre acontecer  ê pra surdo ouvir  pra cego ver que este xote faz milagre acontecer  ê pra surdo ouvir  pra cego ver que este xote faz milagre acontecer  ê pra surdo ouvir  pra cego ver falamansa faz milagre acontecer ","forró"
"569","wi-fi - ao vivo","traia véia","forró","por que é que depois das dez da noite cê não atende chamada de vídeo  será que tem alguém aí escondido   será   a nossa conexão tá falhando  já faz tempo que aqui não chega os  eu te amo daqueles que deixa o coração vibrando e é por isso que eu tô me preocupando nosso amor tá oscilando uou  uou  uou  uou se o wi fi tá lento  travando tem mais gente usando e nem é de internet que eu tô falando se o wi fi tá lento  travando tem mais gente usando e nem é de internet que eu tô falando do seu amor eu tô me desligando uou  uou  uou  uou a nossa conexão tá falhando  já faz tempo que aqui não chega os  eu te amo daqueles que deixa o coração vibrando e é por isso que eu tô me preocupando nosso amor tá oscilando  tá oscilando  uou  uou  uou  uou se o wi fi tá lento  travando tem mais gente usando e nem é de internet que eu tô falando se o wi fi tá lento  travando tem mais gente usando e nem é de internet que eu tô falando se o wi fi  wi fi  tá lento  tá lento   travando  travando  tem mais gente usando  uou  usando  e nem é de internet que eu tô falando do seu amor eu tô me desligando uh  uh do seu amor eu tô me desligando uh  uh e nem é de internet que eu tô falando e se o wi fi tá lento  travando tem mais gente usando e nem é de internet que eu tô falando e se o wi fi tá lento  travando tem mais gente usando e nem é de internet que eu tô falando do seu amor eu tô me desligando","forró"
"573","mtg forró e desmantelo","dj sv","forró","o teu olhar paralisou meu coração tua beleza é a mais nome_fem perfeição o teu cheiro enfeitiçou esse vaqueiro fiquei na sua mão encontrei em você  meu bem o par perfeito que eu sempre sonhei pra mim e toda vaquejada é assim tome forró e desmantelo  telo eu e você dançando a noite toda eu perdidinho no teu beijo  beijo minha vaqueira  é bom demais amar você e você me amar tome forró e desmantelo  telo eu e você dançando a noite toda e eu perdidinho no teu beijo  beijo minha vaqueira  é bom demais amar você e você me amar o teu olhar paralisou meu coração tua beleza é a mais nome_fem perfeição o teu cheiro enfeitiçou esse vaqueiro fiquei na sua mão encontrei em você  meu bem o par perfeito que eu sempre sonhei pra mim e toda vaquejada é assim tome forró e desmantelo  telo eu e você dançando a noite toda eu perdidinho no teu beijo  beijo minha vaqueira  é bom demais amar você e você me amar tome forró e desmantelo  telo eu e você dançando a noite toda e eu perdidinho no teu beijo  beijo minha vaqueira  é bom demais amar você e você me amar","forró"
"580","patrai","nattan","forró"," coloca o capacete que lá vem pedrada    nattanzinho   oi    que solinho é esse  hein    ai  nattanzinho   vai  chama    vai  nattanzinho  passei a noite pensando  quase que eu não durmo que lapa de raba da porra  tu sentando é um absurdo senta  senta  sarra  sarra  joga e se contrai tira a calcinha  amor  pro nattanzinho  vai passei a noite pensando  quase que eu não durmo que lapa de raba da porra  ela_similares sentando é um absurdo senta  senta e sarra  sarra  joga e se contrai tira a calcinha  amor  vai  nattanzinho  chama  ó olha pra trai  pra trai  pra trai  pra trai olha pra trás  pra trás  vai pro nattanzinho  vai olha pra trai  pra trai  pra trai  pra trai tira a calcinha  amor  ui  ai olha pra trai  pra trai  pra trai  pra trai olha pra trai  pra trai  pra trai  pra trai olha pra trai  pra trai  pra trai  pra trai  pra trai  pra trai tira a calcinha  amor  vai  vai  olha o solo   é pra bater no paredão   uou   traz cachaça  cerveja  três copo   e um revólver  passei a noite pensando  quase que eu não durmo que lapa de raba da porra  tu sentando é um absurdo senta  senta  sarra  sarra  joga e se contrai tira a calcinha  amor  va va va vai eu passei a noite pensando  quase que eu não durmo que lapa de raba da porra  ela_similares sentando é um absurdo senta  senta  sarra  sarra  joga e se contrai tira a calcinha  amor  pro nattanzinho  vai olha pra trai  pra trai  pra trai  pra trai olha pra trai  ui  que suingue diferente olha pra trás  pra trás  pra trás  pra trás olha pra trás  que raba  minha familia_fem  vem pra trás devagarinho  tá  mô    daquele jeito   vai    the king of swing  soy yo   que é pra bater no paredão   vai  ","forró"
"606","amor na praia","nattan","forró","isso é mais um sucesso do nattanzinho só falando de amor o que eu mais quero é te amar na praia ah ah ah ah ah ah ah dizer  eu te amo  bem na tua ele_similares ah ah ah ah ah o meu coração tá perguntando por você ele_similares só volta a bater quando você aparecer então  volta logo  que até meu relógio tá contando as horas pra te ter aqui comigo traz de volta o meu sorriso ô  o que eu mais quero é te amar na praia ah ah ah ah ah ah ah dizer  eu te amo  bem na tua ele_similares ah ah ah ah ah ah ah o que eu mais quero é te amar na praia ah ah ah ah ah ah ah dizer  eu te amo  bem na tua ele_similares ah ah ah ah ah ah ah é o nattanzinho falando de amor quero dizer  еu te amo  bem na tua ele_similares  hehе o meu coração tá perguntando por você ele_similares só volta a bater quando você aparecer então  volta logo  que até meu relógio tá contando as horas pra te ter aqui comigo traz de volta o meu sorriso o que eu mais quero é te amar na praia ah ah ah ah ah ah ah dizer  eu te amo  bem na tua ele_similares ah ah ah ah ah ah ah o que eu mais quero é te amar na praia ah ah ah ah ah ah ah dizer  eu te amo  bem na tua ele_similares ah ah ah ah ah ah ah","forró"
"789","eu vou sentar","nattan","forró","é sei que demorou  mas hoje vai rolar esperem tanto tempo pra gente se amar coloquem na caixinha um som pra tocar e na geladeira umas pra gelar e vai ser bom eu vou sentar gostoso oh ela_similares  chegou teu momento me ensinar no movimento me usa e me faz de bombom eu vou sentar gostoso oh ela_similares  tu tem o talento me instiga no movimento me usa e me faz de bombom eu vou sentar então vem  vem neném vem me chamar de amor enquanto você pede eu vou sentando mais eu sei que tá bom só de olhar pra trás a sentada malvada  a minha enrolada o cheiro gostoso que te satisfaz eu sei que demorou  mas hoje vai rolar esperei tanto tempo pra gente se amar coloquem na caixinha um som pra tocar e na geladeira umas pra gelar e vai ser bom eu vou sentar gostoso oh ela_similares  chegou teu momento me ensinar no movimento me usa e me faz de bombom eu vou sentar gostoso oh ela_similares  tu tem o talento me instiga no movimento me usa e me faz de bombom eu vou sentar gostoso oh ela_similares  chegou teu momento me instiga no movimento me usa e me faz de bombom eu vou sentar então vem  vem neném vem me chamar de amor nattanzinho vem me chamar de amor vem me chamar de amor tamo junto","forró"
"791","maravilhosa - ao vivo","zé vaqueiro","forró","de cabelo preto  de chapéu e bota ô  do jeitinho que o vaqueiro gosta diferenciada  isso que é ela_similares corre vaquejada  dança forró e toma dreher e maravilhosa  ah  ah  ah bonita e cheirosa  ah  ah  ah ô boca gostosa  ah  ah  ah eu tô pra ver vaqueiro não se apaixonar e maravilhosa  ah  ah  ah bonita e cheirosa  ah  ah ô boca gostosa  ah  ah  ah eu tô pra ver vaqueiro não se apaixonar eu disse  de cabelo preto  de chapéu e bota ô  do jeitinho que o vaqueiro gosta diferenciada  isso que é ela_similares corre vaquejada  dança forró e toma dreher e maravilhosa  ah  ah  ah bonita e cheirosa  ah  ah  ah ô boca gostosa  ah  ah  ah eu tô pra ver vaqueiro não se apaixonar e maravilhosa  ah  ah  ah bonita e cheirosa  ah  ah ô boca gostosa  ah  ah  ah eu tô pra ver vaqueiro não se apaixonar e do jeitinho que o vaqueiro gosta","forró"
